,SalePrice
0,12.247694320220994
1,12.109010932687042
2,12.31716669303576
3,11.84939770159144
4,12.429216196844383
5,11.870599909242044
6,12.634603026569334
7,11.77452020265869
8,11.678439903447801
9,11.771436160121729
10,12.751299696013497
11,12.540757571577291
12,11.790557201568507
13,11.407564949312402
14,11.976659481202368
15,11.842229212112828
16,12.692503112461443
17,11.845102777308561
18,12.345834587905333
19,11.77452020265869
20,12.454103912352162
21,11.811547477460344
22,12.631340380934517
23,12.24288661865289
24,11.134589024250317
25,10.596634733096073
26,12.100156419938624
27,12.016726473799254
28,12.533576212168626
29,12.641096555879882
30,11.884489021402711
31,11.938193200374572
32,11.59910316121128
33,11.314474526246391
34,11.982929094215963
35,12.043553716032399
36,11.856515169360305
37,12.675763725937609
38,12.387085012375499
39,12.428015476267865
40,11.635143097694478
41,11.751942365440728
42,11.648330101976432
43,11.608235644774552
44,12.86099861326992
45,11.77528972943772
46,12.103486056755072
47,12.058152515453552
48,12.188417710291453
49,12.991753427493052
50,11.73526869611367
51,11.970350312009105
52,11.522875795823397
53,12.218495165528731
54,11.84939770159144
55,12.666657052859417
56,12.328290278254423
57,11.289781913656018
58,12.323855681186558
59,12.404923504275338
60,11.771436160121729
61,12.128111104060462
62,11.883799128308773
63,11.584315461056901
64,11.418614785498987
65,11.751942365440728
66,11.824079893607152
67,11.608235644774552
68,12.173032791451973
69,11.941455846009388
70,12.409013489526863
71,11.747997587149712
72,12.468436909997665
73,12.066810578196666
74,12.010665849187564
75,11.350406535472453
76,11.724805824005728
77,11.607326140391713
78,11.498826540590727
79,12.004568269319446
80,11.804848531679264
81,12.229545001715316
82,12.273731294003989
83,11.458997122944673
84,11.326595886778735
85,11.76718001130949
86,12.089538829274222
87,11.686576205316552
88,12.200557464842063
89,12.429216196844383
90,11.512925464970229
91,11.652687407345388
92,11.652687407345388
93,12.154779351142624
94,11.82700601127654
95,12.858319703517948
96,12.46651198158808
97,12.078239274020289
98,11.951180395901384
99,12.676076274775909
100,12.007560729337492
101,11.512925464970229
102,11.820410164718188
103,11.94405831982697
104,12.106252310247962
105,11.344506813345266
106,11.37366339763672
107,11.951180395901384
108,11.918390573078392
109,12.328290278254423
110,11.923378114589433
111,12.100712129872347
112,12.066810578196666
113,12.049418835484797
114,12.345834587905333
115,12.352335152508426
116,11.652687407345388
117,12.468436909997665
118,12.01974306733868
119,12.225875272826354
120,11.736069016284437
121,11.77528972943772
122,11.56171562913966
123,11.856515169360305
124,11.711776323715394
125,12.827729194939907
126,11.736069016284437
127,11.27720313144916
128,11.603679828238693
129,12.504323669331189
130,12.448626590364206
131,12.676076274775909
132,12.929991484756872
133,12.301382825334498
134,11.544424132029599
135,11.931635799828413
136,11.755871643580617
137,12.693498620467778
138,12.119969946476761
139,12.2783933071098
140,12.384218830913648
141,12.0015054797889
142,12.122691036591123
143,12.400816722322686
144,12.259613412458204
145,13.1260306447518
146,11.512925464970229
147,12.206572520571825
148,11.695247021764184
149,12.206072645530174
150,11.751942365440728
151,13.071070083016778
152,11.813030057420567
153,11.940393392554734
154,12.56374708980199
155,12.66032791780777
156,12.165250651009918
157,11.77528972943772
158,11.751942365440728
159,11.908340237224891
160,12.650348126203179
161,12.367340793126296
162,11.55214617812351
163,12.524162674153336
164,11.84939770159144
165,12.052338545588132
166,11.626254150277232
167,11.608235644774552
168,12.103486056755072
169,11.876873892875459
170,11.884489021402711
171,11.49272275765271
172,12.133501952695338
173,12.439871229831715
174,11.957611286231675
175,11.80894766169701
176,12.254862809699606
177,11.580584113444043
178,12.0271851854705
179,12.230277334226992
180,12.100156419938624
181,11.48246625748552
182,12.864240107194092
183,11.626254150277232
184,12.577636201962656
185,11.571194373094205
186,11.736069016284437
187,12.167851432709975
188,11.904967552746252
189,12.90669184092882
190,11.456355113481834
191,11.761346823468706
192,11.401993904262946
193,12.130810161029627
194,12.669806661762314
195,11.635143097694478
196,12.478006361013815
197,11.612770799939945
198,11.27720313144916
199,11.695247021764184
200,12.394624752074764
201,11.827736204810263
202,11.84939770159144
203,12.100712129872347
204,11.245046019814627
205,12.367340793126296
206,12.061046873479915
207,11.970350312009105
208,11.884489021402711
209,12.345834587905333
210,12.24288661865289
211,12.301382825334498
212,12.352335152508426
213,11.48246625748552
214,12.078239274020289
215,12.528156144699286
216,11.925035115797062
217,11.77528972943772
218,11.198214720130528
219,12.075394321888057
220,12.128111104060462
221,12.097930486910471
222,11.699405031912846
223,12.491251587763836
224,12.394624752074764
225,12.577636201962656
226,11.842229212112828
227,11.732060994886899
228,12.230765258120545
229,12.211060187041213
230,11.856515169360305
231,12.936751613811438
232,12.165250651009918
233,12.339291489316397
234,12.128111104060462
235,12.24288661865289
236,12.407379502235209
237,12.096257779522967
238,12.011880916165731
239,11.976659481202368
240,11.941944326032129
241,12.359780370124389
242,11.819674600139235
243,11.782952602183288
244,12.025749091398891
245,11.867097278690842
246,11.931635799828413
247,12.384218830913648
248,12.072541252905651
249,11.973509872299472
250,11.964001084330445
251,12.495003937382387
252,12.230765258120545
253,11.917723684090689
254,12.594730635321957
255,12.631013530138995
256,12.323855681186558
257,12.793859310432293
258,11.790557201568507
259,11.694413341015606
260,12.834681304952548
261,12.089538829274222
262,12.146853285870202
263,12.468436909997665
264,12.506177237980511
265,12.468436909997665
266,12.7444443677961
267,12.777052192115912
268,12.614865543731012
269,11.745425111208464
270,12.396693005138824
271,11.37366339763672
272,12.688498794774466
273,11.886211674714158
274,11.26446410567173
275,11.842229212112828
276,12.240474072247506
277,12.165250651009918
278,12.841129801965447
279,12.273731294003989
280,12.218495165528731
281,11.951180395901384
282,12.220468525813907
283,11.314474526246391
284,12.491251587763836
285,11.350406535472453
286,11.850825253582627
287,11.944707881395766
288,12.988040814744458
289,12.669998467265833
290,11.461632170582678
291,11.570250531589497
292,11.84939770159144
293,12.086725887897607
294,11.805595078933049
295,11.77528972943772
296,12.542544882151386
297,12.198544379109382
298,11.678439903447801
299,11.898187865760873
300,12.013700752882718
301,11.790557201568507
302,11.808813773969108
303,11.736069016284437
304,11.719939634354555
305,12.299107511497363
306,11.904967552746252
307,12.736700896592344
308,12.885202034321916
309,12.095141084822892
310,11.751942365440728
311,12.142866569626381
312,12.271392111650817
313,11.238488619268468
314,12.165250651009918
315,11.302204433654575
316,11.736069016284437
317,12.160028707028767
318,12.962194625251508
319,11.686878772093667
320,12.2783933071098
321,11.59910316121128
322,11.76756768334381
323,11.719939634354555
324,12.040608205802641
325,11.112447898373103
326,12.392552212472792
327,12.411052226216713
